amount,hour_of_day,day_of_week,merchant_category,country,device_type,is_foreign_transaction,distance_from_home_km,num_transactions_last_24h,avg_transaction_amount_30d,account_age_days,is_new_device,card_present,is_fraud,transaction_id
42.51,17,6,healthcare,AU,web_chrome,1,8.73,1,58.66,1463,0,1,0,TXN100098
57.56,5,4,electronics,GB,mobile_app,1,15.24,4,139.99,537,0,1,0,TXN100099
46.38,11,1,travel,US,web_safari,0,3.19,2,21.64,2779,0,1,0,TXN100100
257.31,9,1,utilities,US,mobile_app,0,30.9,2,123.4,2255,0,1,0,TXN100101
52.37,9,5,fuel,US,mobile_app,0,3.91,4,60.05,2470,0,0,0,TXN100102
26.2,14,6,jewelry,US,mobile_app,0,7.49,0,69.1,2388,0,1,0,TXN100103
144.87,11,1,travel,GB,web_chrome,1,13.27,4,128.74,2335,0,1,0,TXN100104
172.54,9,4,fuel,US,mobile_app,0,35.54,4,85.74,1540,0,1,0,TXN100105
18.45,22,5,electronics,US,mobile_app,0,20.65,4,58.87,2330,0,1,0,TXN100106
43.37,15,0,jewelry,FR,web_chrome,1,14.24,4,69.83,781,0,0,0,TXN100107
10.8,8,5,online_retail,US,pos_terminal,0,38.54,1,102.39,1218,0,0,0,TXN100108
18.61,18,6,jewelry,US,pos_terminal,0,1.32,3,70.04,1749,0,0,0,TXN100109
82.43,16,3,restaurant,US,pos_terminal,0,56.93,1,55.51,2144,0,0,0,TXN100110
31.07,15,2,electronics,US,web_chrome,0,67.58,2,122.9,1387,0,0,0,TXN100111
38.45,11,5,jewelry,US,web_chrome,0,16.66,0,103.9,2321,0,1,0,TXN100112
1137.24,7,5,travel,US,web_safari,0,905.04,9,84.34,724,0,0,1,TXN100113
36.83,9,6,fuel,US,mobile_app,0,20.23,1,95.29,1582,0,0,0,TXN100114
21.15,20,4,fuel,US,web_safari,0,47.13,2,115.52,388,0,0,0,TXN100115
178.96,9,5,grocery,DE,web_safari,1,28.55,1,67.21,886,0,0,0,TXN100116
169.74,21,1,fuel,US,mobile_app,0,3.27,3,34.55,2972,0,1,0,TXN100117
185.4,19,4,utilities,US,pos_terminal,0,23.91,2,1.78,1770,0,1,0,TXN100118
50.61,9,1,electronics,US,mobile_app,0,18.25,3,109.55,1997,0,1,0,TXN100119
7.25,9,6,online_retail,FR,pos_terminal,1,42.48,2,75.91,2944,0,0,0,TXN100120
90.07,7,6,utilities,US,web_safari,0,28.42,4,70.84,1773,0,0,0,TXN100121
39.96,19,3,online_retail,US,web_chrome,0,19.67,1,116.43,1563,0,1,0,TXN100122
134.59,13,3,utilities,FR,web_chrome,1,16.43,4,115.3,2841,0,1,0,TXN100123
61.66,16,1,entertainment,US,web_chrome,0,8.16,4,82.46,348,0,1,0,TXN100124
38.44,18,3,electronics,DE,web_safari,1,26.64,2,62.69,1879,0,1,0,TXN100125
76.4,9,3,grocery,NG,web_safari,1,17.88,1,89.03,2361,0,0,0,TXN100126
61.77,17,1,grocery,US,mobile_app,0,17.03,1,102.95,1439,0,0,0,TXN100127
111.3,18,1,grocery,US,mobile_app,0,29.92,2,152.27,1233,0,1,0,TXN100128
126.34,13,2,grocery,US,mobile_app,0,22.69,1,72.28,1256,0,1,0,TXN100129
68.21,14,5,healthcare,US,pos_terminal,0,32.15,3,104.52,1399,1,0,0,TXN100130
280.04,21,1,restaurant,GB,mobile_app,1,3.88,1,24.78,1636,0,0,0,TXN100131
87.79,13,6,online_retail,US,mobile_app,0,17.37,3,102.73,1408,0,1,0,TXN100132
102.78,7,6,entertainment,DE,web_safari,1,41.34,0,105.17,2630,0,0,0,TXN100133
174.79,11,1,restaurant,SG,web_safari,1,32.14,0,105.45,1557,0,0,0,TXN100134
42.16,18,5,fuel,US,web_chrome,0,31.18,1,58.38,135,0,0,0,TXN100135
57.99,15,3,jewelry,GB,web_chrome,1,24.5,2,92.45,1069,0,1,0,TXN100136
53.16,23,0,travel,AU,web_safari,1,18.48,3,107.33,70,0,1,0,TXN100137
20.59,12,6,travel,CA,mobile_app,1,5.36,1,76.49,1702,0,1,0,TXN100138
51.32,20,1,jewelry,US,pos_terminal,0,43.2,2,16.38,2452,0,0,0,TXN100139
5.98,8,0,restaurant,US,mobile_app,0,51.78,2,114.01,382,0,0,0,TXN100140
75.24,21,4,electronics,GB,pos_terminal,1,2.52,1,99.5,897,1,1,0,TXN100141
85.58,19,2,fuel,US,web_chrome,0,9.43,2,95.23,2510,0,0,0,TXN100142
45.18,7,2,grocery,US,mobile_app,0,20.85,1,72.57,1690,0,0,0,TXN100143
115.66,1,6,utilities,US,pos_terminal,0,0.99,3,59.4,65,0,1,0,TXN100144
60.88,14,6,healthcare,DE,mobile_app,1,59.72,0,107.93,682,0,1,0,TXN100145
111.13,13,3,utilities,IN,mobile_app,1,27.98,2,105.48,2238,0,0,0,TXN100146
38.94,6,6,online_retail,US,mobile_app,0,2.16,3,86.66,1836,0,1,0,TXN100147
211.18,17,5,electronics,US,web_chrome,0,22.23,1,65.99,481,0,1,0,TXN100148
43.47,13,3,healthcare,US,web_chrome,0,17.44,3,75.55,513,0,0,0,TXN100149
93.43,13,3,jewelry,SG,web_chrome,1,13.36,3,47.73,218,0,0,0,TXN100150
30.3,13,3,jewelry,US,atm,0,17.14,2,97.4,2775,0,1,0,TXN100151
21.76,10,4,restaurant,US,mobile_app,0,8.83,3,75.9,1708,0,0,0,TXN100152
266.58,20,4,grocery,CA,mobile_app,1,38.47,0,78.58,892,0,1,0,TXN100153
84.37,18,6,online_retail,US,mobile_app,0,7.91,1,49.22,791,0,1,0,TXN100154
23.86,15,2,entertainment,US,web_chrome,0,12.67,6,101.41,1037,0,0,0,TXN100155
111.4,18,5,grocery,SG,mobile_app,1,18.56,0,97.57,2992,0,1,0,TXN100156
50.0,11,5,restaurant,BR,mobile_app,1,2.67,0,88.1,626,0,1,0,TXN100157
102.4,17,0,online_retail,US,web_chrome,0,36.3,1,75.95,816,0,1,0,TXN100158
61.58,8,4,online_retail,US,mobile_app,0,11.99,0,64.52,1698,0,1,0,TXN100159
215.15,13,5,utilities,US,mobile_app,0,50.24,3,80.73,1708,0,0,0,TXN100160
13.0,17,2,travel,CA,mobile_app,1,0.2,1,127.86,1734,0,0,0,TXN100161
39.87,18,0,jewelry,US,mobile_app,0,1.14,1,52.18,2840,0,1,0,TXN100162
58.66,1,6,grocery,US,web_safari,0,55.88,2,101.28,2085,0,0,0,TXN100163
181.4,19,6,grocery,AU,pos_terminal,1,18.15,1,24.17,1290,0,1,0,TXN100164
151.43,14,0,fuel,US,web_safari,0,39.43,1,43.08,690,0,1,0,TXN100165
84.73,14,1,entertainment,US,web_chrome,0,11.27,0,60.02,383,0,0,0,TXN100166
65.6,13,5,travel,GB,mobile_app,1,26.71,1,58.77,576,0,1,0,TXN100167
51.34,12,6,grocery,SG,mobile_app,1,20.34,4,142.92,93,0,0,0,TXN100168
42.35,17,2,utilities,US,mobile_app,0,22.62,1,3.77,1604,0,0,0,TXN100169
129.39,12,3,restaurant,US,web_safari,0,2.39,2,23.06,2834,0,0,0,TXN100170
144.47,17,1,grocery,US,web_chrome,0,41.43,4,43.27,32,0,0,0,TXN100171
94.51,8,2,healthcare,CA,mobile_app,1,54.23,1,35.74,303,1,0,0,TXN100172
24.36,17,1,restaurant,US,web_chrome,0,12.47,1,160.64,75,0,1,0,TXN100173
27.27,20,1,travel,IN,mobile_app,1,15.23,1,86.66,902,0,0,0,TXN100174
23.76,17,5,entertainment,US,mobile_app,0,25.13,1,36.82,789,0,1,0,TXN100175
67.31,16,0,entertainment,CA,mobile_app,1,25.15,1,114.28,636,0,1,0,TXN100176
1047.49,11,3,jewelry,SG,atm,1,136.45,8,92.12,52,1,0,1,TXN100177
45.58,21,2,travel,US,mobile_app,0,18.19,1,63.63,147,0,0,0,TXN100178
59.79,8,5,entertainment,US,web_safari,0,17.19,3,107.53,2673,0,0,0,TXN100179
108.24,19,5,travel,AU,mobile_app,1,19.16,2,70.97,1079,0,1,0,TXN100180
10.57,18,0,jewelry,US,pos_terminal,0,8.61,2,85.97,2188,0,0,0,TXN100181
65.61,20,3,healthcare,US,atm,0,36.19,1,86.09,1321,0,1,0,TXN100182
47.17,20,6,jewelry,GB,web_chrome,1,0.41,1,84.92,2815,0,1,0,TXN100183
25.55,9,0,fuel,BR,web_chrome,1,44.9,0,119.92,1307,0,1,0,TXN100184
67.42,19,1,travel,BR,mobile_app,1,34.16,1,52.08,300,0,0,0,TXN100185
131.78,17,0,jewelry,DE,web_safari,1,41.56,2,108.99,1952,0,1,0,TXN100186
127.71,9,0,fuel,DE,web_chrome,1,27.77,1,87.65,2760,0,1,0,TXN100187
244.55,9,2,restaurant,US,web_safari,0,37.55,2,63.1,816,0,1,0,TXN100188
147.29,8,6,grocery,US,mobile_app,0,1.41,1,71.01,2217,0,1,0,TXN100189
226.33,10,2,travel,GB,web_chrome,1,52.85,2,44.84,1704,0,1,0,TXN100190
24.29,22,4,online_retail,US,web_safari,0,22.89,2,114.92,2096,0,1,0,TXN100191
69.93,9,0,entertainment,IN,web_chrome,1,30.19,4,80.27,2109,0,1,0,TXN100192
51.16,8,4,grocery,US,atm,0,27.51,2,107.01,238,0,1,0,TXN100193
35.86,10,0,healthcare,DE,mobile_app,1,4.54,2,53.11,1696,0,0,0,TXN100194
203.48,19,3,travel,DE,mobile_app,1,24.17,5,29.15,1860,0,1,0,TXN100195
181.03,21,1,electronics,CA,mobile_app,1,6.59,1,92.13,2829,0,0,0,TXN100196
100.72,18,3,grocery,IN,web_chrome,1,27.41,0,89.43,1932,0,0,0,TXN100197
14.15,15,1,travel,US,web_safari,0,20.75,3,75.93,1868,0,0,0,TXN100198
51.53,10,2,grocery,US,mobile_app,0,23.24,6,51.17,1703,0,1,0,TXN100199
57.64,9,4,healthcare,IN,mobile_app,1,28.55,1,105.04,2329,0,0,0,TXN100200
142.48,5,2,healthcare,US,mobile_app,0,10.07,3,114.13,1506,0,1,0,TXN100201
114.99,23,4,healthcare,NG,pos_terminal,1,22.37,1,40.49,2979,0,1,0,TXN100202
34.38,19,2,online_retail,SG,mobile_app,1,35.14,2,136.41,1214,0,1,0,TXN100203
49.26,17,2,restaurant,NG,mobile_app,1,6.62,1,120.56,1341,0,1,0,TXN100204
146.44,11,6,online_retail,DE,pos_terminal,1,20.54,2,69.38,1790,0,1,0,TXN100205
40.46,11,2,online_retail,US,web_chrome,0,45.57,2,103.22,95,0,1,0,TXN100206
159.57,12,3,fuel,US,web_chrome,0,24.4,0,43.39,2002,0,0,0,TXN100207
162.03,21,0,online_retail,CA,web_chrome,1,8.06,5,97.41,2388,0,1,0,TXN100208
2.5,17,3,healthcare,US,web_safari,0,34.81,2,86.98,1996,0,1,0,TXN100209
72.51,19,3,restaurant,AU,pos_terminal,1,26.05,3,69.55,2850,0,0,0,TXN100210
93.77,12,1,electronics,US,pos_terminal,0,39.45,1,75.21,1177,0,1,0,TXN100211
124.91,11,6,healthcare,US,web_safari,0,35.01,1,86.62,2941,0,1,0,TXN100212
38.17,19,3,grocery,IN,web_safari,1,44.71,1,96.1,1163,0,0,0,TXN100213
77.07,9,0,utilities,US,mobile_app,0,2.79,5,144.66,584,0,1,0,TXN100214
29.39,14,0,healthcare,SG,mobile_app,1,48.41,2,47.38,116,0,0,0,TXN100215
101.52,18,0,online_retail,US,web_safari,0,2.34,1,112.73,2698,0,0,0,TXN100216
215.97,10,3,grocery,DE,web_safari,1,2.47,2,117.19,1084,0,1,0,TXN100217
39.75,14,0,online_retail,IN,mobile_app,1,23.54,2,53.97,1721,1,1,0,TXN100218
51.92,22,5,electronics,NG,mobile_app,1,12.86,2,83.93,509,0,0,0,TXN100219
23.84,20,0,entertainment,US,web_chrome,0,8.1,3,63.38,1300,0,0,0,TXN100220
98.8,15,5,healthcare,DE,mobile_app,1,22.93,1,76.19,225,0,1,0,TXN100221
45.74,11,0,restaurant,GB,web_safari,1,36.84,0,87.77,691,0,0,0,TXN100222
181.99,10,0,jewelry,FR,web_safari,1,19.95,3,77.97,440,0,1,0,TXN100223
47.93,12,1,jewelry,US,web_chrome,0,15.82,5,79.97,547,0,1,0,TXN100224
135.26,10,2,online_retail,US,web_safari,0,9.71,2,82.84,922,0,0,0,TXN100225
38.41,17,2,utilities,US,web_chrome,0,11.86,1,75.49,687,1,1,0,TXN100226
193.32,7,4,restaurant,US,mobile_app,0,19.92,1,114.62,2256,0,0,0,TXN100227
219.34,15,3,online_retail,AU,web_chrome,1,2.07,3,101.79,371,0,1,0,TXN100228
159.54,16,1,electronics,GB,web_chrome,1,50.61,1,93.78,1867,0,1,0,TXN100229
38.38,21,0,online_retail,US,web_safari,0,27.99,2,69.13,2551,0,1,0,TXN100230
111.03,8,4,fuel,CA,web_safari,1,35.0,1,59.38,2530,0,0,0,TXN100231
82.99,18,4,restaurant,AU,mobile_app,1,28.75,2,116.32,1962,0,1,0,TXN100232
43.03,10,3,healthcare,US,web_chrome,0,0.94,2,78.26,1760,0,1,0,TXN100233
114.28,22,6,utilities,US,mobile_app,0,2.47,0,139.34,2023,0,0,0,TXN100234
34.53,7,4,restaurant,DE,web_safari,1,0.84,1,85.33,106,0,0,0,TXN100235
21.07,10,0,online_retail,US,pos_terminal,0,25.6,1,-2.07,1899,0,1,0,TXN100236
141.98,11,3,restaurant,GB,mobile_app,1,4.7,4,86.38,2015,0,1,0,TXN100237
9.07,12,3,online_retail,DE,mobile_app,1,21.11,1,115.64,2878,0,1,0,TXN100238
29.15,9,5,restaurant,GB,web_chrome,1,45.1,1,78.27,1281,0,1,0,TXN100239
1260.63,10,6,travel,IN,atm,1,93.75,7,98.49,2319,0,0,1,TXN100240
76.12,18,2,travel,US,web_chrome,0,15.12,2,122.99,2160,1,0,0,TXN100241
19.61,14,0,healthcare,US,mobile_app,0,10.07,2,85.22,2180,0,1,0,TXN100242
81.47,10,2,fuel,DE,mobile_app,1,1.48,2,42.3,1038,0,0,0,TXN100243
60.88,7,0,utilities,US,mobile_app,0,29.72,2,135.97,1247,0,1,0,TXN100244
401.66,22,3,online_retail,US,mobile_app,0,704.32,7,94.67,1392,0,1,1,TXN100245
135.05,15,2,travel,GB,mobile_app,1,53.81,4,118.72,1979,0,0,0,TXN100246
81.71,17,2,grocery,US,web_chrome,0,4.03,4,67.9,1290,0,0,0,TXN100247
58.31,9,1,travel,US,mobile_app,0,8.11,2,69.16,1486,0,0,0,TXN100248
21.27,12,0,jewelry,FR,mobile_app,1,31.14,0,88.05,1951,0,1,0,TXN100249
47.25,20,5,travel,DE,mobile_app,1,6.66,1,26.59,1728,0,0,0,TXN100250
56.74,20,4,online_retail,GB,mobile_app,1,41.53,3,96.75,2802,0,1,0,TXN100251
34.23,20,5,electronics,BR,web_chrome,1,5.83,3,65.32,1283,0,0,0,TXN100252
33.97,9,6,electronics,SG,web_safari,1,36.63,6,29.49,135,0,1,0,TXN100253
35.54,4,0,fuel,DE,web_safari,1,5.32,1,46.47,2655,0,1,0,TXN100254
62.19,12,4,online_retail,US,mobile_app,0,11.74,3,76.87,358,0,1,0,TXN100255
220.16,16,0,travel,DE,pos_terminal,1,33.17,1,90.94,2712,0,1,0,TXN100256
59.66,9,6,healthcare,IN,pos_terminal,1,31.69,2,102.21,504,0,1,0,TXN100257
86.3,10,6,healthcare,US,mobile_app,0,47.96,2,41.22,2855,0,1,0,TXN100258
37.61,20,2,utilities,AU,atm,1,3.42,3,93.97,1889,0,0,0,TXN100259
27.04,17,2,entertainment,BR,mobile_app,1,25.09,0,51.8,2738,0,0,0,TXN100260
100.78,6,5,grocery,IN,pos_terminal,1,11.82,1,33.1,131,0,0,0,TXN100261
86.0,14,5,electronics,IN,web_chrome,1,23.86,1,46.67,2974,0,0,0,TXN100262
25.78,5,3,electronics,GB,web_safari,1,29.33,1,31.34,1692,1,1,0,TXN100263
694.9,22,5,electronics,DE,mobile_app,1,33.76,5,73.1,1643,1,0,1,TXN100264
29.6,18,3,jewelry,US,web_safari,0,22.07,2,75.14,2507,0,1,0,TXN100265
81.92,7,1,fuel,GB,web_safari,1,6.88,1,87.87,1592,0,0,0,TXN100266
67.47,9,5,restaurant,US,mobile_app,0,19.69,5,61.41,1597,0,1,0,TXN100267
86.71,12,2,fuel,US,web_safari,0,16.51,5,29.91,443,0,0,0,TXN100268
236.89,16,6,online_retail,GB,mobile_app,1,6.75,0,109.26,1572,1,0,0,TXN100269
119.2,7,2,jewelry,AU,web_safari,1,33.3,1,74.13,515,0,1,0,TXN100270
189.77,15,4,entertainment,US,mobile_app,0,13.59,2,125.14,1803,0,1,0,TXN100271
78.82,14,0,healthcare,US,pos_terminal,0,12.65,2,80.45,1091,0,1,0,TXN100272
145.08,11,4,healthcare,US,mobile_app,0,47.45,1,57.46,2100,0,0,0,TXN100273
254.92,18,1,utilities,US,mobile_app,0,35.07,1,100.39,2319,0,0,0,TXN100274
39.55,15,3,entertainment,US,mobile_app,0,23.65,1,13.69,2141,0,1,0,TXN100275
36.81,17,5,utilities,US,web_safari,0,20.94,2,52.96,2445,0,0,0,TXN100276
64.39,9,6,jewelry,CA,pos_terminal,1,16.2,4,64.24,1597,1,0,0,TXN100277
34.66,9,6,utilities,US,mobile_app,0,6.47,4,86.85,2293,0,1,0,TXN100278
809.84,8,0,travel,NG,web_chrome,1,760.71,5,83.63,214,1,0,1,TXN100279
61.63,12,5,entertainment,US,web_safari,0,4.12,3,98.98,845,0,0,0,TXN100280
45.63,13,6,fuel,DE,web_chrome,1,20.89,1,63.38,767,0,0,0,TXN100281
174.77,16,4,travel,CA,web_safari,1,36.25,2,85.7,2982,0,1,0,TXN100282
33.06,20,5,online_retail,US,mobile_app,0,6.12,0,125.64,2809,0,0,0,TXN100283
49.35,10,4,grocery,US,web_chrome,0,31.06,3,109.25,2837,0,0,0,TXN100284
38.82,8,2,electronics,SG,web_chrome,1,30.36,2,76.16,1772,0,0,0,TXN100285
55.21,13,0,entertainment,US,mobile_app,0,27.47,3,81.96,879,0,0,0,TXN100286
53.73,20,5,jewelry,US,mobile_app,0,36.3,1,165.52,2653,0,0,0,TXN100287
14.73,12,5,online_retail,US,web_chrome,0,49.54,3,72.24,2074,0,0,0,TXN100288
35.72,14,4,entertainment,US,mobile_app,0,21.46,1,40.01,2130,0,1,0,TXN100289
43.4,8,5,electronics,SG,mobile_app,1,27.4,0,77.21,1518,1,1,0,TXN100290
